CustomerID,Tenure,InternetService,Contract,MonthlyCharges,TotalCharges,PaymentMethod,Churn,TenureBucket,HighRiskCustomer,RevenueSegment
C00001,66,fiber optic,month-to-month,140.0,9859.85,electronic check,yes,49-72 Months,No,High Value
C00002,17,fiber optic,one year,92.01,1576.77,electronic check,yes,13-24 Months,No,High Value
C00003,57,fiber optic,month-to-month,105.94,5161.17,bank transfer,no,49-72 Months,No,High Value
C00004,47,fiber optic,one year,41.25,2183.39,mailed check,no,25-48 Months,No,Medium Value
C00005,32,dsl,one year,123.04,4145.68,credit card,no,25-48 Months,No,High Value
C00006,46,no internet,one year,113.08,4756.95,credit card,no,25-48 Months,No,High Value
C00007,25,no internet,one year,38.92,1101.57,unknown,no,25-48 Months,No,Low Value
C00008,36,fiber optic,month-to-month,39.15,1350.06,bank transfer,yes,25-48 Months,No,Low Value
C00009,68,dsl,month-to-month,86.2,5216.23,bank transfer,no,49-72 Months,No,High Value
C00010,49,dsl,month-to-month,54.85,2683.35,credit card,yes,49-72 Months,No,Medium Value
C00011,55,fiber optic,month-to-month,84.84,4103.73,bank transfer,no,49-72 Months,No,High Value
C00012,67,fiber optic,month-to-month,70.16,4193.64,electronic check,yes,49-72 Months,No,Medium Value
C00013,2,fiber optic,month-to-month,94.0,163.93,bank transfer,yes,0-12 Months,Yes,High Value
C00014,39,dsl,month-to-month,105.91,3874.56,electronic check,yes,25-48 Months,No,High Value
C00015,66,fiber optic,two year,71.74,4345.38,credit card,no,49-72 Months,No,Medium Value
C00016,47,fiber optic,one year,86.69,3613.36,electronic check,yes,25-48 Months,No,High Value
C00017,61,no internet,one year,55.65,3649.26,electronic check,no,49-72 Months,No,Medium Value
C00018,48,dsl,month-to-month,70.8,3139.31,mailed check,no,25-48 Months,No,Medium Value
C00019,7,dsl,month-to-month,84.69,642.11,electronic check,no,0-12 Months,No,High Value
C00020,52,fiber optic,two year,33.64,1802.05,electronic check,no,49-72 Months,No,Low Value
C00021,27,no internet,one year,56.04,1424.14,unknown,no,25-48 Months,No,Medium Value
C00022,34,dsl,month-to-month,70.21,2387.14,electronic check,yes,25-48 Months,No,Medium Value
C00023,40,fiber optic,month-to-month,67.2,2651.62,mailed check,no,25-48 Months,No,Medium Value
C00024,3,dsl,month-to-month,15.0,40.41,electronic check,no,0-12 Months,No,Low Value
