CustomerName,Gender,Tenure,MonthlyCharges,TotalCharges,Contract,Churn,Tenure_Years,Churn_Flag,Risk
Customer_1,Female,41,110.61,4504.53,One year,No,3.42,0,Low Risk
Customer_2,Male,42,33.07,1375.63,Two year,Yes,3.5,1,Low Risk
Customer_3,Male,33,77.14,2621.2,month to month,No,2.75,0,Low Risk
Customer_4,Male,50,45.37,2186.54,Two year,No,4.17,0,Low Risk
Customer_5,Male,63,100.14,6379.94,One year,No,5.25,0,Low Risk
Customer_6,Female,37,27.02,953.8,Month-to-month,Yes,3.08,1,Low Risk
Customer_7,Male,59,88.9,5288.55,Two year,No,4.92,0,Low Risk
Customer_8,Male,48,37.49,1852.89,Month-to-month,Yes,4.0,1,Low Risk
Customer_9,Male,5,79.64,419.72,One year,No,0.42,0,High Risk
Customer_10,Male,48,103.57,4910.44,Two year,No,4.0,0,Low Risk
Customer_11,Female,3,95.51,300.15,Two year,Yes,0.25,1,High Risk
Customer_12,Male,47,95.29,4606.61,Two year,No,3.92,0,Low Risk
Customer_13,Female,62,71.78,4450.92,Month-to-month,Yes,5.17,1,Low Risk
Customer_14,Male,14,109.07,1521.94,One year,Yes,1.17,1,Medium Risk
Customer_15,Female,63,78.81,4955.18,month to month,No,5.25,0,Low Risk
Customer_16,Female,61,111.75,6842.53,month to month,No,5.08,0,Low Risk
Customer_17,Female,31,74.65,2309.79,One year,No,2.58,0,Low Risk
Customer_18,Female,17,70.6,1214.43,Two year,Yes,1.42,1,Medium Risk
Customer_19,Female,24,42.24,999.14,month to month,Yes,2.0,1,Low Risk
Customer_20,Female,23,74.48,1661.23,Two year,Yes,1.92,1,Medium Risk
Customer_21,Male,50,34.06,1819.1,One year,No,4.17,0,Low Risk
Customer_22,Male,70,106.97,7483.07,Month-to-month,No,5.83,0,Low Risk
Customer_23,Female,27,87.59,2524.85,Two year,Yes,2.25,1,Low Risk
Customer_24,Female,15,119.36,1811.65,Month-to-month,No,1.25,0,Medium Risk
Customer_25,Female,50,29.21,1490.5,Month-to-month,Yes,4.17,1,Low Risk
Customer_26,Male,36,44.07,1571.06,One year,No,3.0,0,Low Risk
Customer_27,Female,8,107.72,832.11,One year,Yes,0.67,1,High Risk
Customer_28,Male,3,59.53,164.26,Month-to-month,No,0.25,0,Medium Risk
Customer_29,Male,62,66.63,4089.44,Month-to-month,No,5.17,0,Low Risk
Customer_30,Male,47,106.07,4939.06,month to month,Yes,3.92,1,Low Risk
Customer_31,Male,61,72.18,4492.21,month to month,Yes,5.08,1,Low Risk
Customer_32,Female,32,39.35,1299.19,One year,Yes,2.67,1,Low Risk
Customer_33,Female,13,109.2,1494.51,Two year,No,1.08,0,Medium Risk
Customer_34,Female,1,23.11,79.35,Month-to-month,Yes,0.08,1,Medium Risk
Customer_35,Female,34,109.54,3694.29,Two year,No,2.83,0,Low Risk
Customer_36,Female,62,25.05,1476.12,Month-to-month,Yes,5.17,1,Low Risk
Customer_37,Female,71,86.58,6124.17,One year,No,5.92,0,Low Risk
Customer_38,Male,31,27.17,846.86,Two year,No,2.58,0,Low Risk
Customer_39,Female,64,90.62,5856.9,One year,Yes,5.33,1,Low Risk
Customer_40,Female,25,23.4,582.27,Month-to-month,No,2.08,0,Low Risk
Customer_41,Male,38,104.25,4109.82,One year,No,3.17,0,Low Risk
Customer_42,Male,14,66.59,910.63,Two year,No,1.17,0,Medium Risk
Customer_43,Male,8,29.35,264.35,month to month,No,0.67,0,Medium Risk
Customer_44,Male,54,90.68,4866.79,One year,Yes,4.5,1,Low Risk
Customer_45,Male,2,68.93,158.17,Two year,No,0.17,0,Medium Risk
Customer_46,Male,56,39.09,2104.02,One year,Yes,4.67,1,Low Risk
Customer_47,Female,61,21.57,1303.34,One year,No,5.08,0,Low Risk
Customer_48,Female,22,61.8,1328.66,month to month,No,1.83,0,Medium Risk
Customer_49,Male,35,28.56,1006.98,Two year,Yes,2.92,1,Low Risk
Customer_50,Female,16,29.42,512.53,Two year,Yes,1.33,1,Medium Risk
Customer_51,Female,50,46.73,2287.75,Two year,No,4.17,0,Low Risk
Customer_52,Female,43,83.05,3568.72,Month-to-month,Yes,3.58,1,Low Risk
Customer_53,Female,17,72.99,1265.49,One year,No,1.42,0,Medium Risk
Customer_54,Male,58,26.9,1594.34,month to month,No,4.83,0,Low Risk
Customer_55,Female,2,116.84,326.83,Two year,No,0.17,0,High Risk
Customer_56,Male,4,108.72,463.81,month to month,No,0.33,0,High Risk
Customer_57,Female,39,45.92,1770.88,Month-to-month,No,3.25,0,Low Risk
Customer_58,Female,6,32.23,164.98,Month-to-month,No,0.5,0,Medium Risk
Customer_59,Female,69,114.24,7853.55,month to month,No,5.75,0,Low Risk
Customer_60,Female,69,66.11,4529.79,Two year,No,5.75,0,Low Risk
Customer_61,Female,20,51.12,1033.19,month to month,No,1.67,0,Medium Risk
Customer_62,Male,64,69.04,4439.59,Two year,Yes,5.33,1,Low Risk
Customer_63,Male,16,97.27,1597.55,Two year,No,1.33,0,Medium Risk
Customer_64,Female,51,36.84,1912.09,Month-to-month,Yes,4.25,1,Low Risk
Customer_65,Male,37,96.75,3642.06,month to month,Yes,3.08,1,Low Risk
Customer_66,Female,69,94.94,2104.02,Month-to-month,No,5.75,0,Low Risk
Customer_67,Female,42,73.93,3186.88,One year,No,3.5,0,Low Risk
Customer_68,Female,57,106.58,6043.58,Month-to-month,No,4.75,0,Low Risk
Customer_69,Female,66,33.21,2209.26,Two year,No,5.5,0,Low Risk
Customer_70,Female,9,79.55,706.21,month to month,Yes,0.75,1,High Risk
