CustomerName,Gender,Tenure,MonthlyCharges,TotalCharges,Contract,Churn
Customer_1,FEMALE,41,110.61,4504.527408714642,One year,N
Customer_2,M ,42,33.07,1375.625264321303,Two year,Yes
Customer_3,male,33,77.14,2621.2040001871515,month to month,N
Customer_4,M ,50,45.37,2186.5356131176964,Two year,N
Customer_5,M ,63,100.14,6379.940535463834,One year,no
Customer_6,Female,37,27.02,953.8012254894348,Month-to-month,Yes
Customer_7,male,59,88.9,5288.5540886633,Two year,N
Customer_8,male,48,37.49,1852.8858477587382,Month-to-month,Y
Customer_9,male,5,79.64,419.7231107775951,One year,N
Customer_10,M ,48,103.57,4910.437819405599,Two year,No
Customer_11,FEMALE,3,95.51,300.1514841821795,Two year,Yes
Customer_12,male,47,95.29,4606.608112516164,Two year,no
Customer_13,f,62,71.78,4450.921785062006,Month-to-month,Y
Customer_14,M ,14,109.07,1521.939161915153,One year,yes
Customer_15,Female,63,78.81,4955.17717346397,month to month,No
Customer_16,FEMALE,61,111.75,6842.528168353661,month to month,No
Customer_17,f,31,74.65,2309.7909580833734,One year,No
Customer_18,f,17,70.6,1214.42952548466,Two year,Y
Customer_19,Female,24,42.24,999.1438322344917,month to month,Yes
Customer_20,FEMALE,23,74.48,1661.2277564347576,Two year,Yes
Customer_21,M ,50,34.06,1819.103455034214,One year,N
Customer_22,Male,70,106.97,7483.067434920366,Month-to-month,N
Customer_23,FEMALE,27,87.59,2524.8499096645946,Two year,Yes
Customer_24,Female,15,119.36,1811.645762302346,Month-to-month,N
Customer_25,f,50,29.21,1490.4991101287778,Month-to-month,Yes
Customer_26,M ,36,44.07,1571.0557715239122,One year,No
Customer_27,FEMALE,8,107.72,832.1121339312436,One year,yes
Customer_28,Male,3,59.53,164.25649404681303,Month-to-month,No
Customer_29,Male,62,66.63,4089.4443667982746,Month-to-month,N
Customer_30,male,47,106.07,4939.055959082455,month to month,yes
Customer_31,male,61,72.18,4492.210052770694,month to month,yes
Customer_32,Female,32,39.35,1299.1876302833941,One year,Yes
Customer_33,FEMALE,13,109.2,1494.5092562177035,Two year,no
